m,w,d,wdRatio,SCcomp,SCtheor,theta1,theta2,theta3,theta4,theta5
2,15,60,0.25,0.452832,0.438959968979379,21.2673438580397,0,0,0,0
4,24,60,0.4,0.856994666666667,0.646290294621859,40.5986807060123,59.2981357387972,46.0098832329957,0,0
3,15.6,52,0.3,0.665378222222222,0.636384387633061,17.7304350498958,40.8107022738301,0,0,0
4,11.2,56,0.2,0.629922222222222,0.623452789007165,45.0312033554241,35.0119904557175,33.107550896158,0,0
4,12.5,50,0.25,0.695994222222222,0.685469848228883,43.1742080915694,59.7693666778122,21.2720582974153,0,0
6,8.85,59,0.15,0.650484888888889,0.681922863405995,27.2816918995145,24.8056373412489,13.063924101438,7.53927524175757,18.5348756140089
5,19.95,57,0.35,0.864757777777778,0.635359391376191,0.588135135783725,50.5928002806306,55.3399198677765,46.2572532404355,0
2,11.4,57,0.2,0.378805333333333,0.373310423217143,43.7707827302788,0,0,0,0
3,8.55,57,0.15,0.404007555555556,0.418903718043597,28.6495318636117,37.4229847600465,0,0,0
3,5.9,59,0.1,0.291398666666667,0.301649484079524,46.0153000761159,56.0686963870962,0,0,0
2,5.1,51,0.1,0.221425777777778,0.208797659642211,29.3858281154068,0,0,0,0
2,20.4,51,0.4,0.654418222222222,0.56948126216517,2.64993430575967,0,0,0,0
4,18.55,53,0.35,0.825025777777778,0.69688860103623,10.7389487588601,20.3373406948631,12.6087382226131,0,0
4,22.4,56,0.4,0.864685333333333,0.646290294621859,6.09203332873873,23.4512851635813,3.27699691341945,0,0
4,12,60,0.2,0.612208444444444,0.623452789007165,48.6961548597194,29.1391001938811,53.6668653340436,0,0
2,12,60,0.2,0.376626222222222,0.373310423217143,55.049629944967,0,0,0,0
5,13.25,53,0.25,0.782535555555556,0.736556004204932,56.1616396013862,7.48644243962955,43.8351216903424,38.7886459455488,0
6,11.6,58,0.2,0.70788,0.750427097370068,50.1132306286878,19.3476238417356,33.1356970115013,58.7477479460335,32.9585119810982
3,13.25,53,0.25,0.601077777777778,0.586271169820366,45.3905726101167,24.8340449214114,0,0,0
4,18,60,0.3,0.775780888888889,0.709948452238572,19.6652976296044,50.2681909847145,44.3443336364117,0,0
6,2.65,53,0.05,0.287177777777778,0.306709314720961,39.7592300572329,16.8900935489094,13.8229840390478,42.6677130708195,37.4743750195985
4,15,50,0.3,0.774941777777778,0.709948452238572,20.9270885106035,27.0804348213446,14.4542998272066,0,0
